topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
Leviathan Coast,,"Leviathan Coast is a remote northwestern region filled with ancient Second Empire ruins, many already picked over by Tech Hunters. The land is dominated by massive Leviathans that roam freely, along with dangerous Beak Things and other wildlife. Fertile soil and quality stone deposits make it viable for settlement, though no established towns exist here.",,,"Leviathan Coast, Leviathan_Coast",Zones
Leviathan Pearl,,"Leviathan pearls are rare and valuable treasures harvested from the bodies of leviathans, massive creatures found along certain coasts and remote regions. These pearls are prized as status symbols among the wealthy, who often have them carved into decorative items like cups, urns, and vases. Hunting leviathans for their pearls is dangerous but profitable work for those skilled enough to attempt it.",,,"Leviathan Pearl, Leviathan_Pearl",Items
Lineage of Phoenixes,,"The Phoenixes are the supreme religious and political leaders of the Holy Nation, passing their title through generations. Each Phoenix is considered a divine figure who guides the nation according to their faith. The lineage represents an unbroken chain of holy authority stretching back through the nation's history.",,,"Lineage of Phoenixes, Lineage_of_Phoenixes","Holy Nation, Lore"
Longen,,Longen is a Scorchlander man who leads the Traders Guild and controls much of the slavery and trade operations throughout the United Cities. He resides in Trader's Edge and commands powerful nobles who answer to him rather than directly to Emperor Tengu. Longen is considered the undisputed king of commerce in the Empire and openly seeks someone to eliminate the anti-slaver leader Tinfist.,,,Longen,"Bosses, Characters, Slave Traders, Traders Guild, Unique, United Cities"
Lord Inaba,,"Lord Inaba is a Shek nobleman and military commander of the United Cities who governs Stoat and oversees conscription and patrols around Bast. He is the author of The Blessing of Slavery and commands a personal guard of hooded empire nobles. His removal from power can lead to the collapse of order in Stoat and surrounding regions, potentially allowing other factions or bandits to take control.",,,"Lord Inaba, Lord_Inaba","Bosses, Characters, Nobles, Unique, United Cities"
Lord Mirage,,"Lord Mirage is the leader of the United Heroes League and resides at Fort Mirage, surrounded by City Heroes. It is unclear whether they are a minor United Cities noble who formed their own militia or simply a common thug who adopted the title of Lord. They wear modest armor and carry weapons of uncertain origin.",,,"Lord Mirage, Lord_Mirage","Characters, Nobles, United Cities, United Heroes League"
Lord Nagata,,"Lord Nagata is a United Cities noble who governs Sho-Battai and holds influence over Port North. He is a Scorchlander with unusually light skin and resides in the Noble House in Sho-Battai, protected by hooded guards. His death can lead to the collapse of Sho-Battai's order, potentially allowing peasant uprisings or cannibal invasions depending on who else falls with him.",,,"Lord Nagata, Lord_Nagata","Bosses, Characters, Nobles, Unique, United Cities"
Lord Ohta,,"Lord Ohta is a noble of the United Cities who lives in a grand house in Heft, protected by a group of well-armed bodyguards. He is one of the wealthy elite who hold power in the empire. His death or imprisonment can anger other nobles and change how the samurai guards react to outsiders.",,,"Lord Ohta, Lord_Ohta","Bosses, Characters, Nobles, Unique, United Cities"
Lord Shiro,,"Lord Shiro is a Shek noble and one of the diplomatic leaders of the United Cities. He resides in Catun with four hooded guards and lives in a noble house. If he is killed or imprisoned, Catun falls under the control of Fishmen.",,,"Lord Shiro, Lord_Shiro","Bosses, Characters, Nobles, Unique, United Cities"
Lord Yoshinaga,,"Lord Yoshinaga is a diplomatic leader of the United Cities who resides in Heng. He is responsible for raising armies that patrol the Skimsands region. His home is guarded by Hooded Empire Noble Guards, and entering without permission is considered trespassing.",,,"Lord Yoshinaga, Lord_Yoshinaga","Bosses, Characters, Nobles, Unique, United Cities"
Lost Hiver,,"Lost Hivers are Western Hive worker drones who appear after their Queen has been killed or kidnapped. Without a Queen, these hivers become confused and homeless, sometimes attacking those they encounter. They wander in small groups and should not be confused with the separate Lost Drones who exist regardless of the Queen's fate.",,,"Lost Hiver, Lost_Hiver",Characters
Luquin,,"Luquin is a Scorchlander prisoner held in Tengu's Vault for murdering Noble Lord Kurusaga and threatening other nobles. After his capture, he was paraded through Heng's streets and forced to write a tribute to the Emperor. He has been imprisoned for fifteen years and is known through legends told in books found across the land.",,,Luquin,"Bounty, Characters, Playable, Unique"
Machinists,,"They record their findings in books to share knowledge widely, and are led by Finch, a Hive Prince scientist, with his Skeleton assistant Iyo handling outside dealings. They work closely with the Tech Hunters, who venture into dangerous ruins to collect artifacts since the scholars themselves are not suited for such hazards.",,,Machinists,"Factions, WIP"
Mad Cat-Lon,,"Mad Cat-Lon is the exiled last ruler of the Second Empire, now dwelling in his ancient dome at Cat-Lon's Exile. He believes humans are monsters who grow more evil as they multiply, and he enslaved many of his own kind who sided with humanity. When confronted, he attacks alongside his army of thralls, wielding the legendary blade Falling Sun.",,,"Mad Cat-Lon, Mad_Cat-Lon, Mad CatLon","Bosses, Characters, Superbosses, Unique"
Manhunter Base,,"The Manhunter Base is an outpost in The Hook that serves as the headquarters for the Manhunters. It sits near slave markets and farms, supplying labor and catching escapees. If the Slave Market Master and Slave Mistress Grace are killed, the Mercenary Guild takes over the base.",,,"Manhunter Base, Manhunter_Base","Article stubs, Locations, Mercenaries"
Manhunters,,"Manhunters are a faction that hunts escaped slaves for a living, capturing runaways and sometimes innocent travelers to sell to slavers. They are stronger and better equipped than ordinary slave hunters and often patrol areas where escaped slaves and bandits gather. They avoid attacking those allied with the United Cities or Traders Guild, but will still pursue anyone marked as an escaped slave regardless of protection.",,,Manhunters,"Factions, Slavers"
Mani,,Mani is the second in command of the Flotsam Ninjas and can be found at the Northern Scout Post. He joined the Flotsam Ninjas after his patrol of Cannibal Hunters was killed by Cannibals. He wears quality armor and carries weapons made by Catun Scrapmaster.,,,Mani,"Characters, Unique"
Mass Extinction Series,,"The Mass Extinction Series is a collection of books written by scholars like Finch, Sabina, Atticus, and Idad that debate what caused the ancient world to collapse. They discuss theories ranging from natural disasters to plague, resource depletion, or even psychological weapons used by the ancients. The books question why Skeletons survived when other races did not, and why they never rebuilt their lost empire.",,,"Mass Extinction Series, Mass_Extinction_Series","Books, Lore"
Meat Lord,,"The Meat Lord is a cannibal leader who controls the First Village in Darkfinger, accompanied by several cannibal chiefs. He is considered a regional sub-leader among the cannibals and is wanted by all three major factions. Despite lacking heavy armor, he wields an ancient-made cleaver and possesses considerable physical strength.",,,"Meat Lord, Meat_Lord","Bounty, Characters, Unique"
Meatwrap,,"A meatwrap is meat wrapped in bread, commonly sold at bars. It can be cooked at home with the right knowledge and equipment. While edible and filling, it's considered one of the less efficient meals available.",,,Meatwrap,"Items, Nutrition"
Megacity,,Megacity was an ancient civilization that once thrived where Ghost Village now stands. The town has long been abandoned and its people are gone. Records of Megacity's history can still be found in books at the Ghost Village bar.,,,Megacity,Factions
Megacrab,,"The Megacrab is one of the largest crabs in the world, dwelling in the ruins of Lost Town within the Howler Maze. Its presence may have caused the town's destruction, or it simply moved into the abandoned ruins. Defeating this unique creature yields a rare trophy called the Megacrab Ganglion, and once killed, it does not return.",,,Megacrab,"Animals, Characters, Unique"
Megaraptor,,The Megaraptor is a massive raptor that lives in the Drowned Ancient Citadel Ruin on Raptor Island. It is larger and more dangerous than common swamp raptors. All Megaraptors are female.,,,Megaraptor,"Animals, Characters, Raptors, Unique"
Meitou,,"Meitou weapons are the finest blades ever made, crafted long ago by the legendary smith Cross. These rare weapons are now scattered across the land, usually owned by powerful warriors, wealthy nobles, or important leaders. Only a handful of these masterwork weapons exist in the world.",,,Meitou,"Unique, Weapons"
Mercenary,,"Mercenaries are members of the Mercenary Guild who travel the lands with their captains, offering bodyguard and base defense services for hire. They typically wear shoddy armor and carry weapons made by Ancient. Both humans and Shek can be found working as mercenaries.",,,Mercenary,"Bodyguards, Characters, Mercenaries"
Mercenary Guild,,"The Mercenary Guild operates across Holy Nation and United Cities territories, offering bodyguard and outpost protection services for hire. Their squads consist of human mercenaries led by captains who can be found in various bars and towns throughout these regions. While competent fighters, they typically carry low-quality equipment but remain a practical option for inexperienced groups seeking protection.",,,"Mercenary Guild, Mercenary_Guild","Factions, Mercenaries"
Mighty Canhead,,Mighty Canhead is a Cannibal Magi who leads large raiding parties against settlements built in or near Cannibal territory. He wears a tin can on his head and wields a Moon Cleaver. He carries a substantial bounty that can be collected by multiple major factions.,,,"Mighty Canhead, Mighty_Canhead","Bounty, Characters, Unique"
Moll,,"Moll is the leader of the Flotsam Ninjas who lives in Flotsam Village in the Hidden Forest, surrounded by Cannibal lands. She is a wanted fugitive with a massive bounty placed on her by the Holy Nation, accused of crimes like blasphemy, witchcraft, and female independence. Moll offers refuge to those fleeing the Holy Nation and believes their religious teachings are just one of many possibilities, though she personally finds all religion to be nonsense.",,,Moll,"Bosses, Bounty, Characters, Flotsam Ninjas, Superbosses, Unique"
Money is Freedom,,"A book that argues money is the ultimate source of freedom and power in life, dismissing the nomad chief Arnuk Geran's claim that love and health matter more than wealth. The author insists that everything, including love, health, and even the loyalty of master swordsmen, can be bought with money. It is commonly found in the United Cities, particularly at the Bank in Trader's Edge.",,,"Money is Freedom, Money_is_Freedom",Books
Mongrel,,"Mongrel is an isolated outlaw town deep in the Fog Islands, founded decades ago by escaped Shinobi Thieves fleeing the Holy Nation. It serves as a haven for criminals and refugees who survive the dangerous journey through hordes of Fogmen. The town is constantly under siege by Fogmen trying to breach its gates and carry off prisoners.",,,Mongrel,"Locations, Mongrel"
Moon Cleaver,,"The Moon Cleaver is an unusually shaped hacker with a reverse curve that catches limbs and necks instead of sliding off like most blades. It is favored by cannibals, the Blackshifters, and the Preacher Cult, with the finest version carried by The Preacher himself in the Cult Village. Its unique design makes it effective against flesh but less so against animals.",,,"Moon Cleaver, Moon_Cleaver","Hacker, Weapons"
Mountain Dog,,"Mountain Dogs are large, powerful variants of Bonedogs that accompany Cannibal Hunters in their campaigns against the painted tribes. They are found in the Cannibal Plains, Hidden Forest, Northern Coast, and Sinkuun regions. Their name and location suggest they may originate from the mountains north of The Holy Nation, though their true homeland remains uncertain.",,,"Mountain Dog, Mountain_Dog","Animals, Characters"
Mounted Crossbow,,"The Mounted Crossbow is a defensive turret that can be placed on the ground or atop walls. An operator mans the turret and fires bolts at approaching enemies, with effectiveness depending on their skill and whether they are shooting from higher or lower ground. Improved versions exist but require dismantling and rebuilding the turret to upgrade.",,,"Mounted Crossbow, Mounted_Crossbow",Buildings
Mourn,,"Mourn is a ruined mining town in the Bonefields, built inside an ancient metal structure. A slave rebellion left it in shambles with no gate guards and broken defenses, making it vulnerable to constant attacks from Beak Things and other deadly wildlife. The Tech Hunters claim it, but it still falls under United Cities bounty jurisdiction. A dangerous creature called the Great White Gorillo is locked inside the abandoned headquarters.",,,Mourn,Locations
Mr Gigantus,,Mr Gigantus is a massive crab who fights alongside the Crab Raiders during their third tournament attack on player outposts. He towers over other crabs and is usually the strongest fighter in the raiding party. He is a member of the Crab Raiders faction.,,,"Mr Gigantus, Mr_Gigantus","Animals, Characters, Unique"
Mud Town,,"Mud Town is a village in the Swamp north of Shark, home to the Swampers and the Twinblades gang led by Big Fang. The local bar is run by the Blackshifters. Many wandering individuals pass through or settle here, making it a place where travelers and potential companions can be found.",,,"Mud Town, Mud_Town",Locations
Mukai the Mountain,,"Mukai the Mountain is a powerful Shek warrior who becomes the new Invincible and leader of the Shek Kingdom if Esata the Stone Golem falls. After taking power, he relocates the kingdom's headquarters from the depopulated Admag to the smaller town of Squin. He wields a legendary Fragment Axe and commands what remains of the Shek forces in the region.",,,"Mukai the Mountain, Mukai_the_Mountain","Bosses, Characters, Leaders, Shek Kingdom, Superbosses, Unique"
Multi-Barrel Harpoon Turret,,The multi-barrel harpoon turret is a defensive weapon emplacement that fires multiple harpoons at enemies. It requires an operator to function and draws power from the settlement's grid. This turret design lacks the option for mounted lighting that some other turret models have.,,,"Multi-Barrel Harpoon Turret, Multi-Barrel_Harpoon_Turret, MultiBarrel Harpoon Turret",Buildings
Narcotics,,"Narcotics were once traded goods that could be bought and sold in towns for profit. They served the same purpose as hashish and were eventually removed from circulation, with hashish remaining as the primary illicit substance in the world.",,,Narcotics,"Removed Content, Retired Items"
Narko,,"Narko is the demoness of darkness in Holy Nation belief, said to have battled the god Okran in the skies before being absorbed into him. Her defeat left behind dark agents and spawns that still threaten the world. The Holy Nation uses Narko's image as female and evil to justify oppressing women and enslaving or killing non-human races, especially skeletons, whom they view as her servants.",,,Narko,"Article stubs, Lore"
Narko's Trap,,"Narko's Trap is a Holy Nation military outpost built around an ancient laboratory they call Narko's Evil Tower. The Holy Nation guards this site to prevent anyone from stealing forbidden ancient technology. Inside the walled lab are dangerous security spiders and valuable ancient artifacts, including a map to the Ashlands.",,,"Narko's Trap, Narko's_Trap, Narkos Trap","Holy Nation, Locations"
New Kralia,,"New Kralia is the headquarters of Kral's Chosen, a hostile faction located south of Admag in the Stenn Desert. The outpost houses their leader Flying Bull along with many of his followers who attack outsiders on sight. If Flying Bull is killed or imprisoned, the settlement falls into ruin.",,,"New Kralia, New_Kralia","Article stubs, Locations"
No-Face,,"No-Face is a Scorchlander outlaw who lives alone at Strange Camp on an island in Gut. He attacks visitors on sight with a crossbow and sword, and has a large bounty from the United Cities. He seems to have grown disillusioned with society, preferring isolation over dealing with people.",,,"No-Face, NoFace","Bounty, Characters, Unique"
Noble Hunter,,"Noble Hunters are wealthy United Cities nobles who patrol the deserts and coasts with armed guards and slaves, hunting for sport. They particularly prize Skeletons as trophies and travel with a Noble Captain and several Hooded Empire Noble Guards. These nobles wear fine robes and carry high-quality crossbows and swords, flaunting their wealth and status as they roam the Emperor's lands.",,,"Noble Hunter, Noble_Hunter","Characters, Nobles, Traders Guild, United Cities"
Nomads,,"Nomads are wandering humans who herd goats and pack beasts across various regions. They maintain free camps with basic shelter, campfires, and beds that travelers can use. They are peaceful and neutral, sometimes offering food to starving strangers in towns.",,,Nomads,Factions
Northern Coast,,"The Northern Coast sits at the northern edge of Holy Nation territory, bordering the Cannibal Plains and other dangerous regions. It is home to Deadcat settlements, though some have been abandoned. Cannibals frequently wander through from neighboring areas, drawing Cannibal Hunters who pursue them, and Tech Hunters from World's End also pass through on their way to explore the wilds.",,,"Northern Coast, Northern_Coast",Zones
Obedience,,"Obedience is a dark quarry in the northern Fog Islands where massive skeleton remains lie half-buried in what looks like ice or metal. It is believed that ancient humans marched their skeleton creations into this pit and destroyed them with chemicals or other means, leaving a hazardous fog that still lingers. The ground is unnaturally smooth metal, and no life grows there.",,,Obedience,Zones
Okran,,"Okran is the deity worshipped by the Holy Nation, regarded as the flame and light that protects the world from darkness. According to their scriptures, Okran originated from a being named Chitrin who split into two forms: Okran as light and Narko as darkness, with Okran casting Narko into the underworld. This belief shapes Holy Nation society, where women are shunned because Narko is seen as female and evil, while Okran represents male purity and righteousness.",,,Okran,Lore
Okran's Fist,,Okran's Fist is a fortified military garrison of the Holy Nation built into the side of the East Arm of Okran. It guards the northeastern approach into Holy Nation territory and is manned by Paladins and Holy Sentinels. The garrison likely serves as a staging point for patrol troops throughout the surrounding region.,,,"Okran's Fist, Okran's_Fist, Okrans Fist","Holy Nation, Locations"
Okran's Gulf,,"Okran's Gulf is the western edge of Holy Nation territory, bordering the dangerous Fog Islands. The region is mostly flat and arid but fertile, home to the major town of Stack where High Inquisitor Seta commands defenses against Shek invasions and Fogmen incursions. Holy Military Bases fortify the southern and western borders, though patrols are less frequent here than in neighboring Okran's Pride.",,,"Okran's Gulf, Okran's_Gulf, Okrans Gulf",Zones
Okran's Pride,,"Okran's Pride is the heartland of the Holy Nation, centered around their capital city of Blister Hill. It is known for its fertile grasslands, plentiful water, and a sacred flame said to have burned for five thousand years. The region is heavily patrolled by Holy Nation armies and dotted with farms, making it one of the safest and most populated areas in Kenshi despite swarms of River Raptors.",,,"Okran's Pride, Okran's_Pride, Okrans Pride","Holy Nation, Zones"
Okran's Shield,,"Okran's Shield is a heavily fortified military settlement guarding the eastern border of Holy Nation territory. It features a defensive chokepoint with mounted crossbows to repel invaders, particularly from the United Cities. High Inquisitor Valtena commands from the barracks here, and the outpost includes a hospital for wounded soldiers and incinerators for the dead.",,,"Okran's Shield, Okran's_Shield, Okrans Shield","Holy Nation, Locations"
Okran's Valley,,"Okran's Valley is a northern territory of the Holy Nation, named after their god and situated between two mountains called Arm of Okran. The land transitions from grassy forests in the south to desert in the north as it approaches United Cities borders. Holy Nation patrols regularly pass through, and the locals are hostile to non-humans.",,,"Okran's Valley, Okran's_Valley, Okrans Valley",Zones
Okranite Theories In Relation To Findings Series,,This scholarly work examines the origins of Holy Nation beliefs about Okran and the demon Narko. The authors theorize that ancient religious teachings may have emerged from misinterpreted catastrophes and scapegoating of Skeletons who survived disasters that killed humans. The books suggest racial prejudices in Okranite doctrine could stem from ancient tribal conflicts and fear of those who appeared different or immune to the calamities that destroyed early civilizations.,,,"Okranite Theories In Relation To Findings Series, Okranite_Theories_In_Relation_To_Findings_Series","Books, Lore"
Old-Eye Blades,,Old-Eye Blades was a weapon manufacturer known for producing mid-grade weapons of above-average quality. They made various weapon types but did not produce Flesh Cleavers or iron clubs. The company no longer exists.,,,"Old-Eye Blades, Old-Eye_Blades, OldEye Blades","Manufacturers, Removed Content"
Old Empire,,"The Old Empire was an ancient civilization that once ruled the entire world, leaving behind scattered libraries and armories filled with ancient technology and skeletons. Their written language is now unreadable, and how they fell remains a mystery, though some believe their own weapons or the skeletons may have destroyed them. After their collapse, a smaller successor state called the Second Empire arose, controlled by skeletons.",,,"Old Empire, Old_Empire",Lore
Old Machines,,Old Machines are hostile robots that wander dangerous areas filled with ancient ruins. They appear to be malfunctioning or following old programming from a forgotten age. These machines attack nearly anyone on sight without reason or negotiation.,,,"Old Machines, Old_Machines",Factions
Oldworld Bow MkI,,"The Oldworld Bow MkI is a crossbow built by the Tech Hunters using salvaged ancient blueprints. It has good range and accuracy, making it popular with Tech Hunter expeditions heading into the dangerous Three Corners regions. The blueprint can be found at the Scraphouse, and a more advanced version called the MkII also exists.",,,"Oldworld Bow MkI, Oldworld_Bow_MkI",Crossbows
Oldworld Bow MkII,,"The Oldworld Bow MkII is an advanced crossbow design from before the current era, more complex than the MkI version. It requires skill and experience to reload smoothly, but in the hands of a trained archer it becomes one of the finest long-range weapons available. The blueprint for crafting this weapon can be found at the Scraphouse.",,,"Oldworld Bow MkII, Oldworld_Bow_MkII",Crossbows
Outlaw,,"Outlaws are a loose collection of criminals, bandits, deserters, and escaped slaves with no unified allegiance. Many are runaways from oppressive societies who see themselves as rebels against powers like the Holy Nation or United Cities. They survive through theft and looting, often ending up enslaved or caged if captured by authorities.",,,Outlaw,Factions
P4 Unit,,"P4 Units are a rare variant of Skeleton with a weaker head but faster healing and improved learning rates for crafting skills. They are an older model compared to the more advanced P4 Mark II Units. Like all Skeletons, they are immune to weather and can wear most equipment types.",,,"P4 Unit, P4_Unit",Races
Pack Beast,,"Pack Beasts are tamed Garrus used by trade caravans to haul supplies in their backpacks. They eat large amounts of any food and will fight to defend their caravan, though they lack the charging power of domesticated bulls. Their backpacks have built-in lanterns that cannot be turned off, making nighttime sneaking more difficult.",,,"Pack Beast, Pack_Beast","Animals, Characters, Playable"
Pack Bull,,"Pack Bulls are sturdy animals used by trade caravans to haul goods across the land. They wear special backpacks that let them carry trade items, and unlike farm bulls, they keep their horns for defense. They are valued both as pack animals and as capable fighters when needed.",,,"Pack Bull, Pack_Bull","Animals, Characters, Playable"
Palace of the Crab Queen,,The Palace of the Crab Queen is the headquarters of the Crab Raiders faction. It serves as their main base of operations and is known to contain valuable ancient armour and weapons. The location is accessible during the day but closed at night.,,,"Palace of the Crab Queen, Palace_of_the_Crab_Queen","Town Residents, WIP"
Paladin,,"Paladins are veteran soldiers of the Holy Nation who serve as experienced fighters and squad leaders. They patrol the lands alongside Holy Servants and command Holy Sentinels, wearing grayish armor with a yellow emblem and wielding the Paladin's Cross. They man defensive positions in Holy Nation towns and lead assaults against enemies of their faith. Paladins are devout followers of Okran and will speak about their beliefs with male humans, but react violently to any mention of Narko.",,,Paladin,"Characters, Holy Nation, Paladins"
Paladin's Cross,,The Paladin's Cross is the revered holy weapon and symbol of the Paladins of the Holy Nation. With it they have been slaying skeletons and people they think might be skeletons for centuries. The weapon is particularly effective against robots and technological threats. The finest example of this weapon is carried by Holy Lord Phoenix himself in Blister Hill.,,,"Paladin's Cross, Paladin's_Cross, Paladins Cross","Hacker, Holy Nation, Paladins, Weapons"
Pearl Cup,,"A fancy decorative item made from pearls, used by wealthy people to decorate their homes. These cups are commonly found in residential buildings and can be purchased from Hive traders in Hive villages. They are likely crafted from Leviathan Pearls, similar to other pearl decorations.",,,"Pearl Cup, Pearl_Cup",Items
Pearl Sword Holder,,"A decorative sword holder made from pearl, used by the extremely wealthy to display in their homes. It serves no practical purpose beyond being a luxury item that can be sold. These ornamental pieces are likely crafted from leviathan pearls, similar to other pearl decorations found in rich households.",,,"Pearl Sword Holder, Pearl_Sword_Holder",Items
Pearl Urn,,"A decorative urn made from pearls, used by the extremely wealthy to ornament their homes. It is commonly found in residential buildings and can be purchased from Hive traders in Hive villages. The urn is likely crafted from Leviathan Pearls, similar to other pearl items like cups and vases.",,,"Pearl Urn, Pearl_Urn",Items
Pearl Vase,,"A fancy decorative item made from pearls that wealthy people use to decorate their homes. These vases can be found in residential buildings and are likely crafted from leviathan pearls, similar to other pearl items like urns and cups. Hive traders in Hive villages commonly sell these ornamental pieces.",,,"Pearl Vase, Pearl_Vase",Items
Peasant,,"Peasants are common folk found throughout the Empire lands, typically wearing simple rags and straw hats. They carry staffs and go about their daily work, representing the lowest class of Empire society. These humble workers can be humans, Shek, or Hive people struggling to survive under their rulers.",,,Peasant,Characters
Peeler Machine,,"The Peeler Machine is a horrific device used by the Skin Bandits to skin their captives alive in their Skinhouses. It slowly destroys clothing and tears apart limbs before killing the victim, producing animal skins in the process. The machine functions like a prisoner cage and continues working even after death.",,,"Peeler Machine, Peeler_Machine",Buildings
Plank,,"The Plank is a heavy hacking weapon known for its good reach and balance between the clumsiness of fragment axes and the cutting traits of swords. It is a crude but effective weapon commonly found in Shek Kingdom shops. Due to its size, it must be carried in a backpack or equipped directly.",,,Plank,"Heavy Weapon, Weapons"
Plastic Surgeon,,"Plastic surgeons are medical professionals found in bars across the land who can alter a person's appearance and even change their name for a fee. Members of the Shinobi Thieves can access similar services for free at their guild towers. These practitioners work with all races, from humans and shek to hivers and skeletons.",,,"Plastic Surgeon, Plastic_Surgeon",Characters
Ponk,,"Ponk is one of two leaders of the Thrall Masters, alongside Screamer the False, and both operate from the Tower of Abuse. Both leaders are wanted by the United Cities and Holy Nation as sadistic con artists who practiced fraudulent medicine and ancient voodoo across various cities.",,,Ponk,"Bosses, Bounty, Characters, Unique"
Port North,,"Port North is a slave camp on the northern coast of the Great Desert, controlled by the Slave Traders and ruled by Lady Kana. Despite its name, it functions mainly as a stone mining and processing center, though it is also known as a major slave farm and clothing producer. The town supplies Bark and Sho-Battai, and its designation as a port suggests maritime trade exists in Kenshi's world, even though no ships are visible.",,,"Port North, Port_North",Locations
Port South,,"Port South is a slave camp in the Great Desert controlled by Slave Traders, where Slave Master Wada resides in a Noble House. Despite its name, it sits inland without harbor access and functions primarily as a stone mining operation worked by slaves. The town supplies Bark and Heft and is frequently attacked by Skimmers.",,,"Port South, Port_South",Locations
Port South (Alpha),,"Port South was a town in the southwest controlled by the United Cities, situated at the base of a hill near Eyesocket, Trader's Edge, and Skinner's Roam. It eventually became a Slave Trader town in later times.",,,"Port South (Alpha), Port_South_(Alpha), Port South Alpha",Removed Content
Power Core,,"A Power Core is an ancient piece of technology sometimes found in old ruins. Some people speculate it might be related to Skeleton anatomy, like a heart or similar organ. It has no practical use but can be sold for a decent amount of money.",,,"Power Core, Power_Core",Items
Prayer Day,,"Prayer Day is a regular visit from Holy Nation priests who come to player settlements near their territory to ensure proper worship. A priest leads a group of paladins and servants to check that residents pray at a Holy Flame shrine. If the settlement lacks the shrine or refuses to pray, the Holy Nation will send forces to remove the occupants from their lands.",,,"Prayer Day, Prayer_Day",Events
Preacher Cult,,"The Preacher Cult is a violent group living in Cult Village who worship the moons and believe blood sacrifices bring good harvests. They attack all outsiders on sight, tie prisoners to poles, and randomly execute captives before burning the bodies. The cultists wield moon cleavers and carry no medical supplies, often becoming crippled or dying from their wounds after battles.",,,"Preacher Cult, Preacher_Cult",Factions
Protector of the Flame,,"The Protector of the Flame is an elite Paladin who guards the Holy Lord Phoenix in his throne room at Blister Hill. He stands out among the Phoenix's other Paladins due to his exceptional combat prowess and distinctive appearance. If slain, another Protector will eventually take his place to continue defending the Holy Nation's leader.",,,"Protector of the Flame, Protector_of_the_Flame","Characters, Holy Nation, Paladins, Unique"
Purple Sands,,"Purple Sands is a large barren desert north of The Shrieking Forest, easily recognized by its purple-colored sand and strange satellite-like structures buried throughout. Sandstorms constantly sweep the region, and there is no water or resources to be found. Occasionally cannibals, shrieking bandits, or beak things wander through from neighboring lands, but no settlements exist here.",,,"Purple Sands, Purple_Sands",Zones
Queen of the South,,"The Queen of the South rules the Southern Hive from her throne, protected by Elite Droneguards and aided by her consort, the King. She wields a masterwork polearm and shares the same coloration as her rival, the Queen of the Western Hive, unlike her pink-skinned subjects. Her survival and the defeat of rival leaders determines whether Southern Hive patrols expand into neighboring territories, and her death would leave the Southern Hive vulnerable to Fogmen invasion.",,,"Queen of the South, Queen_of_the_South","Bosses, Characters, Hivers, Royal Valley, Southern Hive, Unique"
Quin,,"Quin is a Skeleton who runs a shop in the Scraphouse, an ancient factory near Black Desert City. He sells rare and valuable goods including blueprints, quality weapons, Ancient Science Books, and AI Cores. When speaking to other Skeletons, he references the chaos of the First Empire's collapse, hinting at his own ancient origins.",,,Quin,"Characters, Unique"
Raptor Island,,"Raptor Island is a large sandy landmass on the western coast, slightly north of the Fog Islands, with a small mountain range at its center. It is home to many Swamp Raptors that are not aggressive unless someone disturbs their nests. The island occasionally experiences acid rain and has abundant shrubbery with a few sparse trees. There are no towns or settlements on the island.",,,"Raptor Island (Zone), Raptor_Island_(Zone), Raptor Island Zone","Raptors, Zones"
Raptors,,"Raptors are wild animals found across several regions. River Raptors nest in places like Darkfinger, Hidden Forest, Northern Coast, and Okran's Pride. Most other raptors are considered swamp creatures.",,,Raptors,Factions
Ration Pack,,"Ration Packs are pre-made food bundles containing foodcubes and dried meat, offering substantial nourishment in a compact form. They cannot be crafted but are sold by traders at bars and by traveling caravans. Sometimes friendly characters will gift them as a gesture of goodwill.",,,"Ration Pack, Ration_Pack","Items, Nutrition"
Reavers,,"Reavers are bandits led by Valamon who believe they should rule instead of the United Cities. Many higher-ranked Reavers were likely former slaves themselves. They clash with rival groups like Crab Raiders, Skeleton Bandits, and Skin Bandits in the southeastern regions.",,,Reavers,"Factions, Reavers, Slavers"
Rebel Farmers,,"Rebel Farmers are poor peasants and farmers who have risen up against the United Cities nobility, led by Boss Simion from their base at Fort Simion. They attack travelers on the roads and retreat to their camps, which makes even common citizens struggle to support them despite their shared origins. Their rebellion focuses on overthrowing the empire's nobles rather than just freeing slaves, and they grow stronger when key United Cities nobles are killed or captured.",,,"Rebel Farmers, Rebel_Farmers",Factions
Rebirth,,"Rebirth is a Holy Nation labor camp located in a mountain pit north of their main territory. Prisoners of all races except Skeletons are sent there for religious re-education and penance, forced to build statues and perform labor until death or deemed cleansed. The Holy Nation believes souls are reborn as children of Okran after sufficient punishment. The camp houses criminals, border trespassers, and captured raiders, primarily serving religious discipline rather than profit.",,,Rebirth,"Holy Nation, Locations"
Rebirth (Zone),,"Rebirth is a remote Holy Nation zone in the mountains northwest of Blister Hill, dominated by a massive slave labor mine where Shek and Hivers are sent to disappear. The area is barren and desolate with few resources and no settlements. It is considered a dead zone with no changing weather or seasons.",,,"Rebirth (Zone), Rebirth_(Zone), Rebirth Zone","WIP, Zones"
